"customer_id","customer_name","age","product_id","product_name","category","order_id","ship_mode","sales"
"CG-12520","Claire Gute",67,"FUR-BO-10001798","Bush Somerset Collection Bookcase","Furniture","CA-2016-152156","Second Class","261.96"
"CG-12520","Claire Gute",67,"FUR-CH-10000454","Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back","Furniture","CA-2016-152156","Second Class","731.94"
"DV-13045","Darrin Van Huff",31,"OFF-LA-10000240","Self-Adhesive Address Labels for Typewriters by Universal","Office Supplies","CA-2016-138688","Second Class","14.62"
"SO-20335","Sean O'Donnell",65,"FUR-TA-10000577","Bretford CR4500 Series Slim Rectangular Table","Furniture","US-2015-108966","Standard Class","957.5775"
"SO-20335","Sean O'Donnell",65,"OFF-ST-10000760","Eldon Fold N Roll Cart System","Office Supplies","US-2015-108966","Standard Class","22.368"
"BH-11710","Brosina Hoffman",20,"FUR-FU-10001487","Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood","Furniture","CA-2014-115812","Standard Class","48.86"
"BH-11710","Brosina Hoffman",20,"OFF-AR-10002833","Newell 322","Office Supplies","CA-2014-115812","Standard Class","7.28"
"BH-11710","Brosina Hoffman",20,"TEC-PH-10002275","Mitel 5320 IP Phone VoIP phone","Technology","CA-2014-115812","Standard Class","907.152"
"BH-11710","Brosina Hoffman",20,"OFF-BI-10003910","DXL Angle-View Binders with Locking Rings by Samsill","Office Supplies","CA-2014-115812","Standard Class","18.504"
"BH-11710","Brosina Hoffman",20,"OFF-AP-10002892","Belkin F5C206VTEL 6 Outlet Surge","Office Supplies","CA-2014-115812","Standard Class","114.9"
"BH-11710","Brosina Hoffman",20,"FUR-TA-10001539","Chromcraft Rectangular Conference Tables","Furniture","CA-2014-115812","Standard Class","1706.184"
"BH-11710","Brosina Hoffman",20,"TEC-PH-10002033","Konftel 250 Conference phone Charcoal black","Technology","CA-2014-115812","Standard Class","911.424"
"AA-10480","Andrew Allen",50,"OFF-PA-10002365","Xerox 1967","Office Supplies","CA-2017-114412","Standard Class","15.552"
"IM-15070","Irene Maddox",66,"OFF-BI-10003656","Fellowes PB200 Plastic Comb Binding Machine","Office Supplies","CA-2016-161389","Standard Class","407.976"
"HP-14815","Harold Pawlan",20,"OFF-AP-10002311","Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter","Office Supplies","US-2015-118983","Standard Class","68.81"
"HP-14815","Harold Pawlan",20,"OFF-BI-10000756","Storex DuraTech Recycled Plastic Frosted Binders","Office Supplies","US-2015-118983","Standard Class","2.544"
"PK-19075","Pete Kriz",46,"OFF-ST-10004186","Stur-D-Stor Shelving  Vertical 5-Shelf: 72H x 36W x 18 1/2D","Office Supplies","CA-2014-105893","Standard Class","665.88"
"AG-10270","Alejandro Grove",18,"OFF-ST-10000107","Fellowes Super Stor/Drawer","Office Supplies","CA-2014-167164","Second Class","55.5"
"ZD-21925","Zuschuss Donatelli",66,"OFF-AR-10003056","Newell 341","Office Supplies","CA-2014-143336","Second Class","8.56"
"ZD-21925","Zuschuss Donatelli",66,"TEC-PH-10001949","Cisco SPA 501G IP Phone","Technology","CA-2014-143336","Second Class","213.48"
"ZD-21925","Zuschuss Donatelli",66,"OFF-BI-10002215","Wilson Jones Hanging View Binder  White  1","Office Supplies","CA-2014-143336","Second Class","22.72"
"KB-16585","Ken Black",67,"OFF-AR-10000246","Newell 318","Office Supplies","CA-2016-137330","Standard Class","19.46"
"KB-16585","Ken Black",67,"OFF-AP-10001492","Acco Six-Outlet Power Strip  4 Cord Length","Office Supplies","CA-2016-137330","Standard Class","60.34"
"SF-20065","Sandra Flanagan",41,"FUR-CH-10002774","Global Deluxe Stacking Chair  Gray","Furniture","US-2017-156909","Second Class","71.372"
"EB-13870","Emily Burns",34,"FUR-TA-10000577","Bretford CR4500 Series Slim Rectangular Table","Furniture","CA-2015-106320","Standard Class","1044.63"
"EH-13945","Eric Hoffmann",21,"OFF-BI-10001634","Wilson Jones Active Use Binders","Office Supplies","CA-2016-121755","Second Class","11.648"
"EH-13945","Eric Hoffmann",21,"TEC-AC-10003027","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive","Technology","CA-2016-121755","Second Class","90.57"
"TB-21520","Tracy Blumstein",48,"FUR-BO-10004834","Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish","Furniture","US-2015-150630","Standard Class","3083.43"
"TB-21520","Tracy Blumstein",48,"OFF-BI-10000474","Avery Recycled Flexi-View Covers for Binding Systems","Office Supplies","US-2015-150630","Standard Class","9.618"
